patent_number,application_number
US10550114,US20180354941A1
US10550117,US20190119274A1
US10550118,US20230063643A1
US10550125,US20180305364A1
US10550127,US20200017515A1
US10550140,US20190048033A1
US10576064,US20160000764A1
US10576087,US20190000857A1
US10577308,US20180072656A1
US10577330,US20200199079A1
US10577336,US20180339971A1
US10577352,US20190016705A1
US10577353,US20180222890A1
US10577354,US20190169172A1
US10577360,US20190127357A1
US10577361,US20180297990A1
US10577363,US20170362217A1
US10577367,US20190248787A1
US10561655,US20190290649A1
US10561656,US20200138820A1
US10561657,US20190201403A1
US10561662,US20190070187A1
US10562844,US20180002275A1
US10562850,US20220098151A1
US10562853,US20190194132A1
US10562854,US20190055198A1
US10562861,US20200317623A1
US10562878,US20180230120A1
US10562882,US20170166553A1
US10562887,US20190152956A1
US10562888,US20200317645A1
US10562890,US20170233375A1
US10562891,US20230018702A1
US10562893,US20180319781A1
US10562900,US20170275291A1
US10562902,US20180244677A1
US10562910,US20190169203A1
US10562916,US20180037590A1
US10577368,US20180230150A1
US10577373,US20230056447A1
US10577374,US20240246988A1
US10577383,US20190177340A1
US10583137,US20180344729A1
US10583140,US20190030029A1
US10584098,US20200157053A1
US10584103,US20200354324A1
US10584104,US20180134670A1
US10584111,US20200172505A1
US10584114,US20240417386A1
US10584116,US20190023699A1
US10584120,US20200071312A1
US10584121,US20190194186A1
US10584127,US20220024937A1
US10584132,US20200239488A1
US10584134,US20180093997A1
US10584135,US20190194225A1
US10568874,US20220175746A1
US10568876,US20170273965A1
US10568884,US20230116233A1
US10568888,US20190336506A1
US10570077,US20160340279A1
US10570116,US20190092751A1
US10570118,US20190023686A1
US10570121,US20190040047A1
US10570123,US20210017166A1
US10570125,US20240092769A1
US10570140,US20220153747A1
US10570141,US20190300533A1
US10570155,US20190211032A1
US10570156,US20180072759A1
US10570167,US20180186827A1
US10610539,US20160143934A1
US10611727,US20190084927A1
US10611728,US20240150288A1
US10611730,US20190092735A1
US10611751,US20190322639A1
US10611766,US20180362533A1
US10611770,US20190177332A1
US10611777,US20190127391A1
US10590075,US20180362460A1
US10590077,US20190202784A1
US10590105,US20190185450A1
US10590109,US20190144427A1
US10590114,US20230227436A1
US10590130,US20240383895A1
US10590132,US20200239468A1
US10590139,US20190169193A1
US10590140,US20190144455A1
US10590106,US20180230128A1
US10610125,US20240071588A1
US10617654,US20200197332A1
US10617673,US20210023054A1
US10617676,US20230000833A1
US10617680,US20200163946A1
US10617692,US20190183899A1
US10617706,US20190240244A1
US10596172,US20190192512A1
US10596184,US20190060331A1
US10597366,US20200190031A1
US10597367,US20230113588A1
US10597377,US20220380337A1
US10597382,US20190062310A1
US10597383,US20190144428A1
US10597387,US20180186780A1
US10597399,US20180265516A1
US10618884,US20180044323A1
US10618886,US20200102289A1
US10618897,US20190071444A1
US10618900,US20180194767A1
US10618902,US20190218220A1
US10618903,US20190292191A1
US10618910,US20190233435A1
US10618912,US20240140964A1
US10618913,US20190185489A1
US10618914,US20200339602A1
US10618916,US20250084104A1
US10618929,US20200239514A1
US10603310,US20190000823A1
US10603320,US20200009139A1
US10603330,US20200246362A1
US10604489,US20220033394A1
US10604502,US20190023684A1
US10604504,US20230192645A1
US10604508,US20210009565A1
US10604514,US20190119263A1
US10604531,US20190092785A1
US10604534,US20190040081A1
US10604535,US20190112318A1
US10604536,US20180258104A1
US10632122,US20190358231A1
US10632126,US20190269693A1
US10632171,US20190216887A1
US10633345,US20250270171A1
US10633348,US20180194739A1
US10633373,US20180105515A1
US10633375,US20200199115A1
US10633379,US20240360124A1
US10633388,US20190270748A1
US10633389,US20230416263A1
US10633384,US20200207769A1
US10639284,US20180008554A1
US10639286,US20230218549A1
US10640486,US20180319771A1
US10640491,US20200207741A1
US10640495,US20180201607A1
US10640498,US20190055232A1
US10640503,US20190040058A1
US10640533,US20200087343A1
US10640534,US20240059733A1
US10646492,US20240216377A1
US10646575,US20190076541A1
US10647665,US20200239411A1
US10647686,US20190284143A1
US10647694,US20190256493A1
US10647700,US20190367482A1
US10647706,US20190225598A1
US10647708,US20170283407A1
US10647713,US20180134700A1
US10647719,US20180215765A1
US10647720,US20200190095A1
US10647727,US20180162874A1
WO2006061714,
US10653688,US20190125740A1
US10653701,US20200306259A1
US10654814,US20190284147A1
US10654831,US20200283406A1
US10654833,US20200002312A1
US10654835,US20220119372A1
US10654836,US20190161476A1
US10654853,US20190048008A1
US10654855,US20240109902A1
US10654856,US20190040072A1
US10654857,US20190144457A1
US10654860,US20190276466A1
US10654866,US20230234960A1
US10660876,US20180177761A1
US10660898,US20190255064A1
US10662156,US20190233376A1
US10662159,US20190152917A1
US10662184,US20190194184A1
US10662186,US20190010153A1
US10662187,US20190062328A1
US10662189,US20190177318A1
US10660877,US20190262311A1
US10667515,US20180139961A1
US10668033,US20170360730A1
US10668051,US20190160046A1
US10668067,US20190167682A1
US10668071,US20180344739A1
US10668094,US20200297748A1
US10668167,US20190262465A1
US10669227,US20240360068A1
US10669234,US20180194724A1
US10669235,US20190071399A1
US10669239,US20200239419A1
US10682352,US20190111056A1
US10683279,US20240376079A1
US10683287,US20200048236A1
US10683289,US20190337935A1
US10683290,US20180127413A1
US10683291,US20220227767A1
US10683294,US20180346471A1
US10683295,US20190023711A1
US10683309,US20200262847A1
US10669240,US20180127377A1
US10669243,US20190241529A1
US10669245,US20240336582A1
US10669246,US20190100500A1
US10669265,US20210115029A1
US10669267,US20190194180A1
US10669268,US20180118741A1
US10669271,US20250171443A1
US10669273,US20190112308A1
US10669276,US20190256517A1
US10669279,US20190322674A1
US10669285,US20200199155A1
US10669289,US20180179232A1
US10669296,US20170066791A1
US10688093,US20240041868A1
US10688100,US20190076437A1
US10689327,US20190337887A1
US10689339,US20180362461A1
US10689345,US20190322624A1
US10689346,US20250257040A1
US10689357,US20190345132A1
US10689362,US20190308949A1
US10689367,US20190300507A1
US10689369,US20190276438A1
US10689373,US20180282309A1
US10689376,US20190031655A1
US10689390,US20180282345A1
US10689395,US20180237453A1
US10689398,US20190002475A1
US10689399,US20190092787A1
US10689401,US20190016734A1
US10689414,US20190023737A1
US10689705,US20150307945A1
USRE48059,
US10695334,US20200054617A1
US10695337,US20230043959A1
US10695347,US20180338973A1
US10696638,US20190194137A1
US10696655,US20200399244A1
US10696660,US20210147391A1
US10696661,US20190062317A1
US10696665,US20190292175A1
US10696672,US20240043421A1
US10696678,US20180305363A1
US10696682,US20240109906A1
US10696689,US20230022513A1
US10696692,US20150104384A1
US10702498,US20190076398A1
US10702504,US20190209535A1
US10703733,US20250154116A1
US10703740,US20240425481A1
US10703741,US20190276432A1
US10703749,US20240116930A1
US10703751,US20190367512A1
US10703755,US20190169191A1
US10708263,US20180007043A1
US10675268,US20190269650A1
US10675284,US20240091234A1
US10675286,US20210000837A1
US10676431,US20210371378A1
US10676433,US20190161447A1
US10676434,US20200255377A1
US10676438,US20180346422A1
US10676446,US20200317624A1
US10676457,US20210024487A1
US10676458,US20190071412A1
US10676460,US20200255407A1
US10676465,US20190382388A1
US10676467,US20190002450A1
US10676469,US20190023700A1
US10676470,US20210017167A1
US10676476,US20200385389A1
US10676479,US20190233426A1
US10676485,US20190144465A1
US10676499,US20180002368A1
US10709688,US20190125726A1
US10709695,US20190247382A1
US10709709,US20190111060A1
US10709712,US20190175606A1
US10709718,US20180303856A1
US10709719,US20220331346A1
US10710967,US20200071280A1
US10710978,US20180111916A1
US10710980,US20200299265A1
US10710986,US20210053946A1
US10710994,US20190284179A1
US10711004,US20200002340A1
US10711006,US20190276461A1
US10711007,US20220177481A1
US10711020,US20190241588A1
US10711036,US20180251489A1
US10729680,US20190142812A1
US10729684,US20180369226A1
US10729691,US20190060314A1
US10729695,US20190374548A1
US10729710,US20240156851A1
US10730826,US20190210960A1
US10730830,US20190031605A1
US10730832,US20190330146A1
US10730833,US20180222861A1
US10730849,US20190337918A1
US10730850,US20190084959A1
US10730853,US20220380339A1
US10730856,US20160318905A1
US10730863,US20190127358A1
US10716791,US20180250307A1
US10717708,US20180327358A1
US10717733,US20190040007A1
US10717734,US20190119269A1
US10717737,US20210032244A1
US10717738,US20170305917A1
US10717742,US20180273541A1
US10717746,US20180093998A1
US10717764,US20240059733A1
US10730860,US20190135790A1
US10730865,US20190127360A1
US10730866,US20200361929A1
US10730868,US20190300520A1
US10730870,US20230203030A1
US10730874,US20190284182A1
US10730875,US20200361934A1
US10730877,US20200095247A1
US10730880,US20190177328A1
US10730881,US20190177329A1
US10730882,US20190292195A1
US10730889,US20210171545A1
US10730902,US20180327440A1
US10722489,US20190262303A1
US10722495,US20190076401A1
US10722597,US20190151468A1
US10723705,US20180244627A1
US10723709,US20220332690A1
US10723723,US20190248769A1
US10723734,US20240360131A1
US10723742,US20180354960A1
US10736883,US20190275008A1
US10736974,US20170333576A1
US10738007,US20190248744A1
US10738009,US20190248745A1
US10738015,US20200331864A1
US10738026,US20200407338A1
US10738048,US20220009921A1
US10738052,US20250223291A1
US10738053,US20180208601A1
US10738057,US20190152975A1
US10738063,US20190300546A1
US10738074,US20180230178A1
USRE48150,
US10751335,US20190055214A1
US10751339,US20190224197A1
US10752581,US20190276395A1
US10752588,US20190023656A1
US10752592,US20190218185A1
US10752596,US20190152926A1
US10752598,US20180354912A1
US10752604,US20190002425A1
US10752613,US20200339545A1
US10752615,US20190263790A1
US10752616,US20210130337A1
US10752623,US20200071313A1
US10752626,US20190256511A1
US10752631,US20190177333A1
US10752632,US20200095254A1
US10744104,US20230285340A1
US10744117,US20180369196A1
US10744125,US20190374530A1
US10744128,US20200155540A1
US10745364,US20190292159A1
US10745380,US20200039956A1
US10745383,US20190062308A1
US10745388,US20190256500A1
US10745392,US20200361927A1
US10745399,US20200325137A1
US10745401,US20250084090A1
US10745410,US20200055867A1
US10745420,US20190367536A1
US10758530,US20210186961A1
US10758539,US20230116686A1
US10758542,US20190365763A1
US10759766,US20220251049A1
US10759769,US20190248754A1
US10759777,US20240190837A1
US10759787,US20200354349A1
US10759788,US20190152958A1
US10759791,US20170275278A1
US10759792,US20170247374A1
US10759793,US20180162856A1
US10759794,US20190062326A1
US10759796,US20240150350A1
US10759799,US20190382402A1
US10759805,US20180319804A1
US10759813,US20220298173A1
US10759812,US20190352311A1
US10752635,US20190256520A1
US10772893,US20200383991A1
US10774051,US20200262796A1
US10774052,US20190375719A1
US10774053,US20210078959A1
US10774054,US20200369632A1
US10774056,US20190330169A1
US10774063,US20180305330A1
US10774065,US20180362496A1
US10774068,US20210061784A1
US10774069,US20200361901A1
US10774070,US20190359591A1
US10774071,US20210024494A1
US10774085,US20210002287A1
US10774092,US20190248806A1
US10774102,US20220289783A1
US10765676,US20190231777A1
US10766858,US20190112264A1
US10766864,US20180127375A1
US10766878,US20190144430A1
US10766881,US20190300511A1
US10766883,US20190330195A1
US10766884,US20220089580A1
US10766893,US20190194189A1
US10766894,US20210188842A1
US10766897,US20200347059A1
US10766902,US20190248795A1
US10766903,US20190256518A1
US10780078,US20190055208A1
US10780082,US20210046058A1
US10780090,US20230293522A1
US10780092,US20190307753A1
US10780095,US20190117668A1
US10781171,US20200148636A1
US10781180,US20190263757A1
US10781181,US20170305863A1
US10781182,US20190270711A1
US10781185,US20210198216A1
US10781200,US20210395221A1
US10781202,US20200002318A1
US10781204,US20210047319A1
US10781209,US20250145621A1
US10781211,US20200022977A1
US10781212,US20200071331A1
US10787419,US20180022705A1
US10787425,US20190016695A1
US10787434,US20200010451A1
US10787435,US20190375728A1
US10787436,US20190100511A1
US10787438,US20210309644A1
US10787450,US20190300528A1
US10787453,US20180298012A1
US10787457,US20190092776A1
US10787459,US20200079779A1
US10787472,US20200377535A1
US10787452,US20180072735A1
US10792283,US20210046075A1
US10793514,US20200095190A1
US10793528,US20230183184A1
US10793529,US20200385357A1
US10793535,US20210292289A1
US10793545,US20250034111A1
US10793549,US20190300506A1
US10793552,US20200262817A1
US10793556,US20230183222A1
US10793561,US20190023702A1
US10793563,US20250059190A1
US10793564,US20190276449A1
US10793565,US20210002276A1
US10793566,US20190276453A1
US10793567,US20220340560A1
US10793568,US20230139597A1
US10793574,US20190284194A1
US10793575,US20190359616A1
US10793576,US20190315758A1
US10793579,US20230339960A1
US10793580,US20190330223A1
US10793582,US20190233438A1
US10793591,US20230167151A1
US10799494,US20190151305A1
US10799507,US20200009147A1
US10799518,US20210000846A1
US10799605,US20170119913A1
US10800725,US20130289128A1
US10800739,US20220363636A1
US10800744,US20200115346A1
US10800746,US20190161453A1
US10800753,US20190256489A1
US10800755,US20230399308A1
US10800757,US20190169167A1
US10800761,US20190382380A1
US10800764,US20180346454A1
US10800765,US20190248770A1
US10800767,US20200062742A1
US10800768,US20190225601A1
US10800769,US20210047311A1
US10800774,US20190055240A1
US10800775,US20190135807A1
US10800776,US20190202827A1
US10800778,US20190202832A1
US10800779,US20190055250A1
US10800783,US20190135817A1
US10800784,US20240300952A1
US10800785,US20190161489A1
US10800786,US20200087307A1
US10800792,US20190284204A1
US10800804,US20200115410A1
USRE48253,
US10806718,US20210023056A1
US10806720,US20210161864A1
US10806724,US20220218676A1
US10806785,US20180177870A1
US10806794,US20180353609A1
US10807944,US20210009509A1
US10807952,US20180201580A1
US10807959,US20200055824A1
US10807966,US20190284157A1
US10807971,US20190345144A1
US10807974,US20220372028A1
US10807980,US20210238174A1
US10807982,US20200071332A1
US10807985,US20240317757A1
US10807986,US20190330214A1
US10807988,US20230303573A1
US10807989,US20230174540A1
US10807991,US20210130364A1
US10807993,US20200216461A1
US10807994,US20190106436A1
US10813930,US20190240220A1
US10813932,US20190192515A1
US10813942,US20190321382A1
US10815206,US20250034100A1
US10815208,US20200181115A1
US10815213,US20210002251A1
US10815215,US20230365524A1
US10815229,
US10815244,US20210002291A1
US10821115,US20200171043A1
US10822319,US20190284153A1
US10822331,US20190202818A1
US10822334,US20200317669A1
US10822338,US20180362530A1
US10822341,US20230045252A1
US10822342,US20190169198A1
US10822345,US20180051034A1
US10822348,US20190284203A1
US10822352,US20210269458A1
US10828290,US20200405702A1
US10828299,US20190388419A1
US10828300,US20190117650A1
US10828301,US20210267971A1
US10829438,US20210155576A1
US10829446,US20180222857A1
US10829448,US20210300869A1
US10829478,US20190315719A1
US10829480,US20230174520A1
US10829481,US20190352286A1
US10829483,US20200140423A1
US10829487,US20210009588A1
US10829490,US20210047328A1
US10829491,US20190292183A1
US10829492,US20190352306A1
US10829493,US20200325141A1
US10829496,US20200062777A1
US10829500,US20190352312A1
US10829502,US20210253601A1
US10829488,US20210002277A1
US10829489,US20200062756A1
US10835536,US20190015417A1
US10836720,US20190144386A1
US10836728,US20210101868A1
US10836741,US20210130321A1
US10836742,US20200024253A1
US10836743,US20190100507A1
US10836758,US20200048240A1
US10836763,US20210024517A1
US10836764,US20210214355A1
US10836768,US20240199618A1
US10836769,US20230148157A1
US10836773,US20200354370A1
US10842799,US20200078371A1
US10842803,US20190117679A1
US10844032,US20180312485A1
US10844038,US20200010442A1
US10844044,US20200102288A1
US10844056,US20230192687A1
US10844057,US20200071324A1
US10844062,US20190300531A1
US10844067,US20240116938A1
US10844069,US20240124463A1
US10844077,US20200165267A1
US10857082,US20210085580A1
US10858316,US20180208554A1
US10858323,US20210155593A1
US10858326,US20190144400A1
US10858342,US20200109131A1
US10858344,US20200017481A1
US10858355,US20210047312A1
US10858356,US20250092041A1
US10858359,US20190127378A1
US10858364,US20190345164A1
US10858362,US20210238182A1
US10858365,US20200331918A1
US10858366,US20200347072A1
US10858368,US20250282790A1
US10858373,US20190292203A1
US10849883,US20230218578A1
US10849898,US20200297727A1
US10849901,US20170189405A1
US10849982,US20240398959A1
US10851080,US20180179182A1
US10851082,US20180244654A1
US10851083,US20210078978A1
US10851089,US20190352287A1
US10851091,US20190263793A1
US10851092,US20210163464A1
US10851102,US20200231590A1
US10851105,US20190284187A1
US10851108,US20190127380A1
US10851110,US20230109858A1
US10851116,US20190382418A1
US10849881,US20180280352A1
US10851050,US20200239411A1
US10864201,US20200069663A1
US10864202,US20200108052A1
US10864248,US20170304392A1
US10865182,US20190152895A1
US10865186,US20180362468A1
US10865195,US20200017474A1
US10865206,US20210061803A1
US10865208,US20190382406A1
US10865384,US20170166867A1
US10864192,US20200016123A1
US10874634,US20210220326A1
US10874640,US20200061024A1
US10874669,US20190076426A1
US10874675,US20190282582A1
US10874683,US20190083520A1
US10874687,
US10875829,
US10875832,US20200010427A1
US10875847,US20200115367A1
US10875851,US20190352294A1
US10875852,US20190112302A1
US10875854,US20190194183A1
US10875863,US20210261554A1
US10875864,US20210238183A1
US10875867,US20230286993A1
US10869929,US20190030171A1
US10870618,US20190308932A1
US10870623,US20190185426A1
US10870625,US20190002413A1
US10870635,US20180201604A1
US10870639,US20200031806A1
US10870641,US20210024502A1
US10870651,US20190055248A1
US10870660,US20190161501A1
US10881652,US20220313676A1
US10881668,US20210093644A1
US10882829,US20210087154A1
US10882833,US20190233405A1
US10882835,US20210147373A1
US10882838,US20190185443A1
US10882844,US20190352280A1
US10882853,US20190248772A1
US10882855,US20210147403A1
US10882857,US20200002336A1
US10882859,US20200223843A1
US10882866,
US10888550,US20190381012A1
US10888561,US20210213011A1
US10888567,US20170224701A1
US10889546,US20180305317A1
US10889552,US20200010430A1
US10889555,US20200157066A1
US10889564,US20210230141A1
US10889568,US20210163449A1
US10889569,US20200017466A1
US10889571,US20200087283A1
US10889579,US20200062743A1
US10889581,US20200231585A1
US10889589,US20190270749A1
US10889591,US20210130366A1
US10889592,US20210047343A1
US10889595,US20190330236A1
US10889610,US20190315793A1
US10894038,US20200113876A1
US10894048,US20190183897A1
US10894052,US20190282584A1
US10894782,US20190185448A1
US10894784,US20190047980A1
US10894786,US20190308951A1
US10894788,US20210130340A1
US10894789,US20240400550A1
US10894794,
US10894797,US20210040122A1
US10894803,US20180265534A1
US10894807,US20240425547A1
US10898481,US20230135068A1
US10899735,US20190345131A1
US10899738,US20210198237A1
US10899741,US20190270724A1
US10899753,US20190382394A1
US10899755,US20210171518A1
US10899756,US20210130349A1
US10899764,US20180118750A1
US10899769,US20190308978A1
US10899772,US20200115383A1
US10899774,US20200115388A1
US10905687,US20210069182A1
US10905688,US20190282571A1
US10906878,US20190256475A1
US10906888,US20190315715A1
US10906890,US20190284173A1
US10906896,US20230159514A1
US10906900,US20190211011A1
US10906905,US20200055852A1
US10906915,US20200010477A1
US10906920,US20250084104A1
US10912773,US20190282572A1
US10912774,US20200206222A1
US10913710,US20190359563A1
US10913711,US20190185424A1
US10913733,US20180362517A1
US10913735,US20190367502A1
US10913740,US20200087303A1
US10913742,US20190284189A1
US10913745,US20180258095A1
US10913746,US20230312585A1
US10913753,US20200017525A1
US10918640,US20210267974A1
US10918642,US20200121686A1
US10918645,US20190307763A1
US10919843,US20210317070A1
US10919852,US20190135745A1
US10919856,US20190241520A1
US10919858,US20210171466A1
US10919859,US20190352266A1
US10919862,US20180215717A1
US10919869,US20190292162A1
US10919884,US20180186782A1
US10919885,US20190330198A1
US10919890,US20200244651A1
US10919895,US20200308175A1
US10919899,US20190367524A1
US10919901,US20200247811A1
US10919902,US20210277007A1
US10919911,US20190315767A1
US10919913,US20190169209A1
US10919914,US20190135833A1
US10925840,US20200197332A1
US10925881,US20170209461A1
US10927076,US20190337894A1
US10927079,US20200239419A1
US10927086,US20200095212A1
US10927105,
US10927106,US20190375742A1
US10927110,US20190218215A1
US10927111,US20210246135A1
US10927120,US20240109906A1
US10927123,US20210340154A1
US10927128,US20210115062A1
US10933063,US20190275037A1
US10934285,US20200002330A1
US10934288,US20240287059A1
US10934294,US20200140445A1
US10934296,US20230331729A1
US10934297,US20190263821A1
US10934302,
US10934303,US20190161490A1
US10934304,US20200207776A1
US10934305,US20200239488A1
US10934310,US20190276471A1
US10940139,US20200054614A1
US10941115,US20190330155A1
US10941129,US20190241531A1
US10941138,US20200087291A1
US10941146,US20240158402A1
US10941151,US20200283447A1
US10941160,US20240182490A1
US10941162,US20190330240A1
US10945978,US20200230090A1
US10945994,US20180125817A1
US10946017,US20190192514A1
US10946019,US20180311243A1
US10946023,US20240335448A1
US10947196,US20200308115A1
US10947203,US20200071281A1
US10947210,US20200255393A1
US10947215,US20230002353A1
US10947218,US20200299265A1
US10947222,US20190276443A1
US10947223,US20200207747A1
US10947226,US20210163475A1
US10947229,US20200071323A1
US10947230,US20210395246A1
US10947234,US20200361931A1
US10947239,US20180327408A1
US10947241,US20190241574A1
US10947243,US20190359620A1
US10947251,US20190300544A1
US10947252,US20220315604A1
US10947254,US20240132520A1
US10952992,US20230398100A1
US10952995,US20200000780A1
US10953005,
US10953012,US20120277224A1
US10954193,US20180258039A1
US10954214,US20180170909A1
US10954216,US20190337926A1
US10954217,US20210300903A1
US10954225,US20200115370A1
US10954228,US20190276448A1
US10954237,US20230063643A1
US10954240,US20180230152A1
US10954241,US20250236624A1
US10954243,US20210317122A1
US10954253,US20200017528A1
US10960005,US20200297727A1
US10961198,US20210300875A1
US10961200,US20240368087A1
US10961228,US20240208947A1
US10961232,US20230030414A1
US10961233,US20190352295A1
US10961236,US20210246130A1
US10961237,US20230147490A1
US10961241,US20240383895A1
US10961242,US20230123569A1
US10961247,US20200317673A1
US10961249,US20240300954A1
US10961252,US20190135825A1
US10961256,US20200002355A1
US10966980,US20160045508A1
US10966985,US20190151322A1
US10966987,US20210393641A1
US10967060,US20180333492A1
US10968163,US20190062261A1
US10968172,US20200131121A1
US10968188,US20200270222A1
US10968198,US20190276425A1
US10968199,US20200062727A1
US10968213,US20240317733A1
US10968215,US20190211010A1
US10968216,US20190375747A1
US10968221,US20200024277A1
US10968223,US20200347059A1
US10968227,US20190359615A1
US10968236,US20230391797A1
US10968242,US20230382932A1
US10973817,US20210275525A1
US10975030,US20220024869A1
US10975037,US20190382349A1
US10975049,US20200055819A1
US10975056,US20190194166A1
US10975057,US20190382373A1
US10975058,US20210147388A1
US10975062,US20200095234A1
US10975064,US20240217958A1
US10975066,US20180222899A1
US10975068,US20170313691A1
US10975075,US20200325137A1
US10975080,US20190185475A1
US10975081,US20200079777A1
US10975084,US20200048258A1
US10975091,US20200055868A1
US10980781,US20200078336A1
US10980794,US20210308121A1
US10980809,US20200061065A1
US10980815,US20200330477A1
US10981879,US20190031623A1
US10981881,US20200369632A1
US10981882,US20210107882A1
US10981887,US20200216406A1
US10981893,US20190263783A1
US10981896,US20250136580A1
US10981898,US20250092027A1
US10981899,US20200157084A1
US10981904,US20210246131A1
US10981905,US20220348570A1
US10981906,US20240067643A1
US10981910,US20240360131A1
US10981911,US20210206768A1
US10981914,US20200017501A1
US10981916,US20250136604A1
US10981917,US20190359617A1
US10981926,US20200109150A1
US10988451,US20250154116A1
US10987354,US20200085822A1
US10988445,US20200181084A1
US10988455,US20230021177A1
US10988458,US20240376079A1
US10988459,US20170008877A1
US10988462,US20240166632A1
US10988476,US20200239470A1
US10988478,
US10988481,US20190152982A1
US10988482,US20200062775A1
US10988487,US20200231606A1
US10988502,US20190225638A1
US10988507,US20190322704A1
US10988463,US20210309644A1
US10994015,US20240382599A1
US10995070,US20190135757A1
US10995072,US20200140392A1
US10995073,US20250223266A1
US10995084,US20200299273A1
US10995088,US20220372028A1
US10995089,US20210221809A1
US10995090,US20190388415A1
US10995099,US20200140454A1
US11000515,US20200054614A1
US11000525,US20240335446A1
US11000528,US20210369727A1
US11001555,US20190185427A1
US11001561,US20210179565A1
US11001563,US20200115352A1
US11001568,US20210238161A1
US11001572,US20200207745A1
US11001575,
US11001578,US20200361923A1
US11001583,US20200079767A1
US11001586,US20200062764A1
US11001595,US20200369680A1
US11001596,US20210230185A1
US11001600,US20180179236A1
USRE48547,
US11007200,US20210052594A1
US11008301,US20200207735A1
US11008304,US20190337923A1
US11008308,US20230018702A1
US11008312,US20190263794A1
US11008314,US20190375743A1
US11008336,US20200048279A1
US11008338,US20200216466A1
US11013718,US20220079917A1
US11013745,US20200261459A1
US11014905,US20230399308A1
US11014909,US20240317713A1
US11014911,US20240294506A1
US11014912,US20200017480A1
US11014913,US20210024502A1
US11014920,US20200262831A1
US11014923,US20220009921A1
US11014926,US20190330216A1
US11014929,US20200172545A1
US11014930,US20200270260A1
US11014963,US20180371016A1
US11020380,US20200163946A1
US11020381,US20200230123A1
US11020395,US20190290648A1
US11020397,US20200268757A1
US11020398,US20190358233A1
US11021454,US20190040029A1
US11021457,US20200071291A1
US11021463,US20200031800A1
US11021467,US20150361068A1
US11021475,US20250243193A1
US11021478,US20230257379A1
US11021481,US20210087190A1
US11021493,US20200231601A1
US11021511,US20190375781A1
US11021515,US20200339626A1
US11026923,US20210023056A1
US11026936,US20200253949A1
US11026937,US20190358216A1
US11026958,US20210077511A1
US11028041,US20210300872A1
US11028051,US20210188777A1
US11028054,US20200140395A1
US11028058,US20210292285A1
US11028064,US20190276423A1
US11028066,US20200172506A1
US11028067,US20200223819A1
US11028075,US20190263786A1
US11028080,US20190084975A1
US11028083,US20190270739A1
US11028085,US20210087189A1
US11028090,US20200039984A1
US11028092,US20200140445A1
US11028093,US20200291039A1
US11028101,US20200087320A1
US11028104,US20200262847A1
US11033539,US20210338653A1
US11033547,US20200281926A1
US11034658,US20190382350A1
US11034661,US20200102278A1
US11034670,US20220033380A1
US11034671,US20200283404A1
US11034678,US20240140937A1
US11034691,US20190300527A1
US11034692,
US11034694,US20210087189A1
US11034698,US20200123166A1
US11034699,US20210269452A1
US11034705,US20210040122A1
US11034715,US20230002437A1
US11034717,US20170101434A1
US11034991,US20190085372A1
US11040034,US20210322409A1
US11040966,US20190263797A1
US11040967,US20190337941A1
US11040968,US20200031823A1
US11040970,US20200131173A1
US11040979,US20200024280A1
US11040980,US20240174676A1
US11040984,US20200190107A1
US11041859,US20180143196A1
US11065231,US20220331297A1
US11065249,US20210100796A1
US11065253,US20240366614A1
US11066360,US20220098151A1
US11066363,US20210340102A1
US11066396,US20190185462A1
US11066404,US20200115378A1
US11066406,US20210340144A1
US11066409,US20210317125A1
US11066413,US20200048270A1
US11066365,US20190284138A1
US11066414,US20240254137A1
US11045448,US20200022953A1
US11045455,US20200147062A1
US11045457,US20200061041A1
US11046646,US20210147357A1
US11046649,US20200024236A1
US11046651,US20210114989A1
US11046652,US20200399223A1
US11046658,US20220411383A1
US11046662,US20190106395A1
US11046670,US20190077789A1
US11046671,US20200172513A1
US11046672,US20190337929A1
US11046675,US20200181125A1
US11046680,
US11046681,US20190144448A1
US11046682,US20190185472A1
US11046686,US20220402910A1
US11046689,US20200239468A1
US11046691,
US11046696,US20200270253A1
US11046698,US20230056447A1
US11046702,US20240352023A1
US11046710,US20200087321A1
US11046712,US20190367533A1
US11046713,US20200299307A1
US11046714,US20160214997A1
US11046725,US20210284678A1
US11071721,US20220339129A1
US11071729,US20220000856A1
US11071730,US20200171020A1
US11071788,US20200138970A1
US11072582,US20200347016A1
US11072607,US20180170927A1
US11072611,US20230022534A1
US11072617,US20190127382A1
US11072619,US20200199128A1
US11072626,US20200308213A1
US11072585,US20200115341A1
US20200361871,US20200361871A1
US11124497,
WO2021205290,
WO2021205298,
WO2021250648,
US11077100,US20230149382A1
US11077107,US20190240219A1
US11077111,US20200261461A1
US11077113,US20240050439A1
US11077128,US20200297748A1
US11078182,US20230295112A1
US11078186,US20200024257A1
US11078188,US20200031802A1
US11078192,US20190308957A1
US11078196,US20190308965A1
US11078197,US20220356179A1
US11078199,US20240092777A1
US11078201,US20210078997A1
US11078204,US20210395258A1
US11078205,US20220153747A1
US11078206,US20200299298A1
US11078214,US20200079788A1
US11078228,US20190389899A1
US11058676,US20200022972A1
US11058688,US20250127792A1
US11058696,US20220331346A1
US11059766,US20210300844A1
US11059784,US20210147361A1
US11059789,US20200071275A1
US11059792,US20180127380A1
US11059794,US20200002297A1
US11059801,US20200317635A1
US11059809,US20200172519A1
